student_id,class_id
s_202100618,112202B
s_202100619,111103C
s_202100620,111202C
s_202100621,113103A
s_202100622,113203C
s_202100623,112101C
s_202100624,111101A
s_202100625,113202A
s_202100627,113102C
s_202100628,111102A
s_202100629,113102B
s_202100630,111102B
s_202100631,111102B
s_202100632,112103A
s_202100633,113202B
s_202100634,113203C
s_202100635,112202B
s_202100636,112203C
s_202100637,111202C
s_202100638,113203C
s_202100640,112103A
s_202100641,111103C
s_202100642,112101B
s_202100645,113101C
s_202100646,113203C
s_202100647,111203C
s_202100648,111201B
s_202100649,113201A
s_202100650,111201B
s_202100651,112101B
s_202100653,113203C
s_202100654,113201A
s_202100655,113101C
s_202100656,112202B
s_202100657,113201A
s_202100658,112103C
s_202100659,113201C
s_202100660,113103C
s_202100661,113102A
s_202100662,113101C
s_202100663,113103C
s_202100664,113202B
s_202100665,111203C
s_202100666,111203A
s_202100667,111202A
s_202100668,112202C
s_202100670,112103A
s_202100671,112102B
s_202100672,112203C
s_202100673,111102B
s_202100674,113203C
s_202100675,111203A
s_202100676,112102A
s_202100677,113101B
s_202100679,111202B
s_202100680,112103C
s_202100681,111203C
s_202100682,111202A
s_202100683,112201C
s_202100684,113101A
s_202100685,111202B
s_202100686,111203C
s_202100688,113201C
s_202100689,113103C
s_202100690,111102C
s_202100691,113101C
s_202100692,112101A
s_202100693,113203C
s_202100694,112202C
s_202100695,113101A
s_202100696,111202A
s_202100698,112101C
s_202100700,112202C
s_202100701,112101A
s_202100702,111101C
s_202100703,111103A
s_202100704,111203A
s_202100705,112202C
s_202100706,113201A
s_202100708,112203A
s_202100710,112103A
s_202100711,111202A
s_202100712,111103A
s_202100713,113201A
s_202100714,113103A
s_202100715,113101A
s_202100716,113201C
s_202100717,113103A
s_202100718,112103A
s_202100719,112103C
s_202100720,111101C
s_202100721,112201A
s_202100722,113202C
s_202100723,112202C
s_202100724,111103C
s_202100725,111102B
s_202100726,112102A
s_202100727,112201B
s_202100728,111202A
s_202100729,111202B
s_202100730,111102C
s_202100731,111201C
s_202100733,112202B
s_202100734,113201C
s_202100735,111203C
s_202100736,111102B
s_202100737,111203C
s_202100738,113201C
s_202100739,112201C
s_202100740,112201B
s_202100741,111102B
s_202100743,112103A
s_202100744,113103A
s_202100745,111103A
s_202100746,112103C
s_202100748,113201A
s_202100751,112202C
s_202100752,113202A
s_202100753,112201B
s_202100754,113201B
s_202100755,113103C
s_202100756,112201A
s_202100757,111202C
s_202100758,113203C
s_202100759,113103C
s_202100760,111202C
s_202100761,111101A
s_202100764,113102C
s_202100765,111201C
s_202100766,111203A
s_202100767,113203A
s_202100768,113203C
s_202100769,111201C
s_202100770,113203A
s_202100771,111203A
s_202100772,112201C
s_202100773,111101C
s_202100774,111201C
s_202100775,113201C
s_202100776,112103C
s_202100777,112102C
s_202100778,112102C
s_202100779,112202A
s_202100780,112103C
s_202100781,112101A
s_202100782,112202C
s_202100783,111203A
s_202100784,113201B
s_202100785,113202B
s_202100786,111203C
s_202100787,112201A
s_202100788,112203A
s_202100789,113103A
s_202100790,111101C
s_202100791,112201C
s_202100792,112202C
s_202100793,113103C
s_202100795,111202C
s_202100796,113203C
s_202100797,113201B
s_202100798,113101C
s_202100799,112102A
s_202100801,112201B
s_202100802,111201C
s_202100803,111203A
s_202100804,112101C
s_202100805,113202A
s_202100806,111102B
s_202100807,112102A
s_202100808,112203A
s_202100810,111103C
s_202100811,112102A
s_202100812,111203C
s_202100814,111201B
s_202100815,112203A
s_202100816,111202B
s_202100817,112102A
s_202100818,112202C
s_202100819,111102B
s_202100820,111102C
s_202100821,111201B
s_202100822,111103C
s_202100824,111102C
s_202100825,113102B
s_202100826,112103C
s_202100827,113101A
s_202100828,113103A
s_202100829,112103C
s_202100830,112101C
s_202100831,112203A
s_202100832,111201B
s_202100833,112201A
s_202100834,111201C
s_202100835,113103A
s_202100836,113203C
s_202100837,111103A
s_202100838,113203A
s_202100839,111103A
s_202100841,113203C
s_202100842,111201A
s_202100843,113203C
s_202100844,111101C
s_202100845,113102A
s_202100846,112203A
s_202100847,111102A
s_202100848,112101C
s_202100849,112101C
s_202100850,113203C
s_202100853,111103C
s_202100854,111201A
s_202100855,112203C
s_202100856,113201C
s_202100857,112203C
s_202100858,113203A
s_202100859,112103A
s_202100860,112103A
s_202100861,113102A
s_202100862,113101C
s_202100863,111101C
s_202100864,113102B
s_202100865,113102C
s_202100866,112203C
s_202100867,112101B
s_202100868,113102B
s_202100869,111201B
s_202100870,112203A
s_202100871,112202A
s_202100872,113203A
s_202100873,111101C
s_202100874,111202C
s_202100875,113101A
s_202100876,113203C
s_202100877,111202B
s_202100878,113101B
s_202100879,111101B
s_202100880,112102C
s_202100881,112203A
s_202100882,113203C
s_202100883,113203C
s_202100885,113102C
s_202100886,112101C
s_202100887,113102B
s_202100888,112101A
s_202100889,112102B
s_202100890,113103A
s_202100891,112202A
s_202100892,111102A
s_202100893,112203C
s_202100895,112102A
s_202100896,113201B
s_202100898,111203C
s_202100899,112203C
s_202100900,113203C
s_202100901,111101A
s_202100902,112101B
s_202100903,112202B
s_202100904,111103C
s_202100905,113201A
s_202100906,113202A
s_202100907,113102C
s_202100908,111203A
s_202100909,111101A
s_202100910,113202C
s_202100911,111101A
s_202100912,111103A
s_202100913,111203C
s_202100914,113202B
s_202100915,111103A
s_202100916,112101B
s_202100917,112201C
s_202100918,112103A
s_202100920,111103A
s_202100921,111101A
s_202100922,113202A
s_202100923,112101C
s_202100924,112202C
s_202100925,112201C
s_202100926,113101A
s_202100927,113103A
s_202100928,111103C
s_202100929,111201C
s_202100930,112202B
s_202100932,113202A
s_202100933,111102B
s_202100934,112101B
s_202100935,113103C
s_202100936,111202C
s_202100937,112202B
s_202100939,112103C
s_202100940,111202A
s_202100941,113202B
s_202100942,112202B
s_202100944,112103A
s_202100945,112203A
s_202100946,113102B
s_202100947,111203A
s_202100948,112203A
s_202100950,113201C
s_202100951,112202C
s_202100952,112202A
s_202100953,113201C
s_202100954,112203A
s_202100955,111202C
s_202100956,111101B
s_202100957,113103C
s_202100958,113103C
s_202100959,113101A
s_202100960,113103C
s_202100961,113202A
s_202100962,111103A
s_202100963,113101C
s_202100966,111202B
s_202100967,111201C
s_202100968,112102A
s_202100969,113101B
s_202100971,111101C
s_202100972,113201C
s_202100973,113103A
s_202100975,111202B
s_202100976,111101C
s_202100977,112101B
s_202100978,113102C
s_202100980,111202B
s_202100981,112202B
s_202100982,113102B
s_202100983,112103C
s_202100984,113201B
s_202100987,111203A
s_202100988,113201B
s_202100989,112101A
s_202100990,111103A
s_202100991,113201A
s_202100992,111101B
s_202100993,111201B
s_202100994,112101C
s_202100995,111202A
s_202100996,111202A
s_202100997,112103C
s_202100998,113103A
s_202100999,113101A
s_202101000,111103C
s_202101001,113103C
s_202101002,113201B
s_202101003,113101B
s_202101004,111202B
s_202101005,112202B
s_202101006,112203C
s_202101007,112103C
s_202101008,113203C
s_202101009,111202A
s_202101010,112202B
s_202101011,112201B
s_202101012,111203C
s_202101013,111203A
s_202101014,112203C
s_202101015,111101B
s_202101016,113202A
s_202101017,113202B
s_202101018,112203C
s_202101019,111201B
s_202101020,111203C
s_202101021,112201A
s_202101022,112101B
s_202101023,112102A
s_202101024,111203C
s_202101025,113203A
s_202101026,113102C
s_202101027,112201C
s_202101029,111102B
s_202101030,111203A
s_202101031,113101B
s_202101032,111201C
s_202101033,112102B
s_202101034,112201A
s_202101035,113101C
s_202101036,111201B
s_202101037,113202A
s_202101038,113101C
s_202101039,112203A
s_202101040,111201B
s_202101041,113102C
s_202101042,111102B
s_202101043,113201A
s_202101044,112103C
s_202101045,112103C
s_202101047,112202C
s_202101048,112203A
s_202101049,111102C
s_202101050,113201A
s_202101051,111201B
s_202101052,111103A
s_202101053,113103A
s_202101055,113201B
s_202101056,111102C
s_202101057,111103C
s_202101058,112203A
s_202101059,113102A
s_202101060,111103A
s_202101062,113102B
s_202101063,113101C
s_202101064,113101A
s_202101065,112101B
s_202101066,111201A
s_202101067,112102C
s_202101068,113201B
s_202101069,113103A
s_202101070,112103C
s_202101071,113103C
s_202101072,111102A
s_202101073,112101C
s_202101074,112201B
s_202101075,111202C
s_202101076,112203A
s_202101077,111201A
s_202101078,112202C
s_202101080,111101C
s_202101081,112103A
s_202101082,111103C
s_202101083,113201A
s_202101084,111102C
s_202101085,112101B
s_202101086,113203A
s_202101087,112203A
s_202101088,112103C
s_202101089,111101A
s_202101090,111103A
s_202101091,113203A
s_202101092,113201B
s_202101093,113102C
s_202101094,111101A
s_202101095,112203C
s_202101096,112103C
s_202101097,112103A
s_202101098,113101B
s_202101099,111101A
s_202101100,112202B
s_202101101,111101B
s_202101102,111202A
s_202101103,111101A
s_202101104,112101C
s_202101105,112201C
s_202101106,113101A
s_202101107,111101C
s_202101108,112102A
s_202101109,111202A
s_202101111,113201B
s_202101112,113103C
s_202101114,113201B
s_202101115,112201C
s_202101116,112101A
s_202101117,111102B
s_202101118,113201C
s_202101120,112202C
s_202101121,111202C
s_202101122,111102B
s_202101123,113201A
s_202101124,112202C
s_202101125,111102C
s_202101126,111101B
s_202101127,112201B
s_202101128,113101B
s_202101129,111202A
s_202101130,113203C
s_202101131,111102A
s_202101133,113203C
s_202101134,113103A
s_202101135,112103C
s_202101136,111101A
s_202101137,112101B
s_202101138,113202C
s_202101140,112202C
s_202101141,112101C
s_202101142,112201C
s_202101143,113201A
s_202101144,112201C
s_202101145,112102C
s_202101146,113102B
s_202101148,113201C
s_202101149,111201B
s_202101150,112102B
s_202101151,111202A
s_202101152,111102C
s_202101153,112202A
s_202101154,112203C
s_202101155,111103A
s_202101156,112103A
s_202101157,113203A
s_202101158,111103C
s_202101159,113102A
s_202101160,112202A
s_202101161,113201B
s_202101162,111101A
s_202101163,111101B
s_202101164,111101A
s_202101166,111101A
s_202101167,112102C
s_202101168,111201A
s_202101169,111102C
s_202101170,112203A
s_202101171,113101B
s_202101172,113102C
s_202101173,113102A
s_202101174,112203A
s_202101175,112101A
s_202101177,112103A
s_202101178,111203A
s_202101179,112201A
s_202101180,111203A
s_202101181,112101A
s_202101182,113202A
s_202101183,111201C
s_202101184,113101C
s_202101186,112102C
s_202101187,111103C
s_202101188,113201A
s_202101189,112203A
s_202101190,111102C
s_202101191,112101C
s_202101192,113103C
s_202101193,113203A
s_202101194,111203C
s_202101195,112101A
s_202101196,111101B
s_202101197,112102C
s_202101198,112203C
s_202101199,113202C
s_202101200,112103C
s_202101201,113101B
s_202101202,111103A
s_202101203,112102C
s_202101204,112201A
s_202101205,112103A
s_202101206,113202A
s_202101207,112103C
s_202101208,111103A
s_202101209,113101C
s_202101210,111101A
s_202101211,112201B
s_202101212,113203C
s_202101213,113101C
s_202101214,112203C
s_202101215,113203C
s_202101216,113102C
s_202101217,111103C
s_202101218,112103C
s_202101219,112203C
s_202101220,112202B
s_202101221,113202B
s_202101222,111101A
s_202101223,112103C
s_202101224,111203A
s_202101225,112202B
s_202101226,113202B
s_202101227,112201C
s_202101228,111102B
s_202101229,113201A
s_202101230,111202C
s_202101231,112203A
s_202101232,111203A
s_202101233,111103A
s_202101234,111102C
s_202101235,112101C
s_202101236,111102B
s_202101237,111201A
s_202101238,113201A
s_202101239,113201C
s_202101240,113101A
s_202101241,112102B
s_202101242,112203A
s_202101243,113103C
s_202101244,111103C
s_202101245,111203C
s_202101246,111102C
s_202101247,111201B
s_202101248,112101B
s_202101249,111103A
s_202101250,111201A
s_202101251,111103A
s_202101252,113101A
s_202101253,113202C
s_202101254,113103A
s_202101255,111202A
s_202101256,111203A
s_202101257,113103C
s_202101258,112201B
s_202101259,113202B
s_202101260,113202C
s_202101261,112202B
s_202101262,111202A
s_202101264,111103C
s_202101265,112102A
s_202101266,111202B
s_202101268,113102A
s_202101269,111202A
s_202101270,113202C
s_202101271,111103A
s_202101272,111103A
s_202101273,113203C
s_202101274,112201A
s_202101275,113201A
s_202101276,111102C
s_202101277,112103A
s_202101278,111101B
s_202101279,112203A
s_202101280,112201B
s_202101281,111202A
s_202101282,112102A
s_202101283,113201A
s_202101284,111202A
s_202101285,112202C
s_202101287,113103A
s_202101288,111103A
s_202101289,113101C
s_202101290,112102B
s_202101291,113101C
s_202101292,112203C
s_202101293,111201A
s_202101294,111101A
s_202101295,112201B
s_202101296,113202C
s_202101297,113202A
s_202101298,111203A
s_202101299,111203C
s_202101300,111101B
s_202101301,111103C
s_202101302,111202A
s_202101303,112203C
s_202101304,111202A
s_202101305,112103C
s_202101306,113203A
s_202101307,113101B
s_202101308,113202C
s_202101309,113202A
s_202101310,111102A
s_202101312,111201A
s_202101313,112203A
s_202101314,112101A
s_202101315,112101A
s_202101316,111103A
s_202101317,111201C
s_202101318,112101C
s_202101319,111201B
s_202101320,112103A
s_202101322,112102A
s_202101323,112203C
s_202101324,113102A
s_202101325,113102A
s_202101326,112103C
s_202101327,113202A
s_202101329,112103C
s_202101331,111202A
s_202101332,112201C
s_202101333,113202C
s_202101334,111103C
s_202101336,113102C
s_202101337,112201A
s_202101338,111102B
s_202101339,112102C
s_202101340,111102A
s_202101341,113103C
s_202101342,111201A
s_202101343,111101A
s_202101344,111102A
s_202101345,112202C
s_202101346,112201B
s_202101347,111102A
s_202101348,113201A
s_202101349,111101B
s_202101350,113103A
s_202101351,111103A
s_202101352,113102A
s_202101353,112201C
s_202101354,113203A
s_202101355,111201B
s_202101356,112101C
s_202101357,112102B
s_202101358,113203C
s_202101359,111102C
s_202101360,113102B
s_202101361,111202A
s_202101362,113102B
s_202101363,113102B
s_202101364,112201A
s_202101365,111202C
s_202101366,113103A
s_202101367,112103A
s_202101368,111102A
s_202101369,111202A
s_202101370,112201B
s_202101371,111103C
s_202101372,112103A
s_202101373,113201C
s_202101374,111101C
s_202101375,111203C
s_202101376,112201C
s_202101377,113203C
s_202101378,113102B
s_202101379,111201B
s_202101381,111103C
s_202101382,112102A
s_202101383,113102C
s_202101384,112201C
s_202101385,111101A
s_202101386,113101C
s_202101387,112201A
s_202101388,111103C
s_202101389,112101B
s_202101390,113202A
s_202101391,113201C
s_202101392,112203C
s_202101394,111103A
s_202101395,112203C
s_202101396,111103C
s_202101397,112102C
s_202101398,112103C
s_202101399,111103A
s_202101400,113102B
s_202101401,113103A
s_202101402,112103A
s_202101403,112203C
s_202101404,113103C
s_202101405,113101B
s_202101406,111101A
s_202101407,111103A
s_202101408,111103A
s_202101409,112202A
s_202101410,112101C
s_202101411,111102B
s_202101412,111102A
s_202101413,113202C
s_202101414,111201A
s_202101415,112202A
s_202101416,111102A
s_202101418,113103A
s_202101419,113203C
s_202101420,113103C
s_202101421,112101B
s_202101422,111202B
s_202101424,112103C
s_202101425,111101A
s_202101426,113101B
s_202101427,113101B
s_202101428,111102B
s_202101429,112202B
s_202101430,113202C
s_202101431,113101C
s_202101432,113202B
s_202101433,111101C
s_202101434,112201C
s_202101435,111202C
s_202101436,112202B
s_202101437,111101C
s_202101438,112201B
s_202101439,113103A
s_202101440,111201C
s_202101441,112103A
s_202101442,113201A
s_202101443,112203C
s_202101444,111202A
s_202101445,112101C
s_202101446,112203A
s_202101447,113103A
s_202101448,112203A
s_202101451,113202A
s_202101452,111202A
s_202101453,113103C
s_202101454,113203C
s_202101455,112101A
s_202101456,113101B
s_202101457,113102A
s_202101458,113101A
s_202101459,113202C
s_202101460,112202C
s_202101461,112102B
s_202101462,112102A
s_202101463,112203A
s_202101464,113103C
s_202101465,112202A
s_202101466,113201A
s_202101467,112103A
s_202101468,111103A
s_202101470,113103A
s_202101471,112102B
s_202101472,112202B
s_202101473,112203C
s_202101474,112103C
s_202101475,113103C
s_202101476,113203C
s_202101477,111101A
s_202101478,111102B
s_202101479,112201C
s_202101481,112201A
s_202101482,111201A
s_202101483,112103C
s_202101484,111102C
s_202101485,113203C
s_202101487,113102C
s_202101488,111103A
s_202101489,112201C
s_202101491,112202A
s_202101492,113203A
s_202101493,112202A
s_202101494,112103C
s_202101495,113103C
s_202101496,113201A
s_202101497,111103A
s_202101498,111202A
s_202101499,111101C
s_202101500,111103A
s_202101501,112102C
s_202101502,113202C
s_202101503,111201A
s_202101504,111201A
s_202101505,111103C
s_202101506,111103C
s_202101507,113103C
s_202101508,113102B
s_202101509,112202B
s_202101510,112201C
s_202101511,112101C
s_202101512,113202C
s_202101513,113103C
s_202101514,111102A
s_202101516,111201C
s_202101517,112103A
s_202101518,113102A
s_202101519,111102C
s_202101520,112203C
s_202101521,111203C
s_202101522,111201A
s_202101523,113103A
s_202101524,112203C
s_202101525,113103C
s_202101526,113102C
s_202101527,113102C
s_202101528,112101A
s_202101529,113101B
s_202101530,113203A
